Order Number,Customer Name,Customer Email,Status,Payment Status,Total,Item Count,Items,City,State,Created At
,srikrishna,srik27600@gmail.com,pending,unpaid,1051.95,5,Three Device Wireless Charger x2; USB-C Cable x1; Watch Strappee x1; Silicone iPhone Case x1; Watch Strappee x1,Coimbatore,Coimbatore,"""2025-12-21T10:34:11.553Z"""
,srikrishna os,,processing,paid,966.97,4,Silicone iPhone Case — Blue x1; Watch Strappee x1; USB-C Cable x1; Two Device Wireless Charger x1,Coimbatore,Coimbatore,"""2025-12-20T17:35:25.819Z"""
,srikrishna os,,pending,unpaid,899,1,Silicone iPhone Case — Blue x1,Coimbatore,Coimbatore,"""2025-12-20T17:11:57.055Z"""
,srikrishna os,,processing,paid,966.97,4,Silicone iPhone Case — Blue x1; Watch Strappee x1; USB-C Cable x1; Two Device Wireless Charger x1,Coimbatore,Coimbatore,"""2025-12-20T17:10:54.090Z"""
,srikrishna oj,,processing,paid,931.98,3,Silicone iPhone Case — Blue x1; Watch Strappee x1; USB-C Cable x1,Coimbatore,Coimbatore,"""2025-12-20T17:10:06.215Z"""
,srikrishna os,,pending,unpaid,10053.98,3,Beats Studio Buds — Red x1; Two Device Wireless Charger x1; Phone Case x1,Coimbatore,Coimbatore,"""2025-12-20T17:07:50.925Z"""
,srikrishna os,,pending,unpaid,10898,2,Beats Studio Buds — Red x1; Silicone iPhone Case — Blue x1,Coimbatore,Coimbatore,"""2025-12-19T16:29:57.318Z"""
,Srikrishna O s,,pending,unpaid,10917.99,3,Silicone iPhone Case — Blue x1; Beats Studio Buds — Red x1; Watch Strappee x1,Coimbatore,Coimbatore,"""2025-12-19T13:51:55.677Z"""
,srikrishna os,,pending,unpaid,10917.99,3,Beats Studio Buds — Red x1; Silicone iPhone Case — Blue x1; Watch Strappee x1,Coimbatore,Coimbatore,"""2025-12-19T13:50:48.320Z"""
,srikrishna os,,pending,unpaid,1798,1,Silicone iPhone Case — Blue x2,Coimbatore,Coimbatore,"""2025-12-18T12:54:47.128Z"""
,srikrishna os,,processing,paid,899,1,Silicone iPhone Case — Blue x1,Coimbatore,Coimbatore,"""2025-12-18T05:06:47.123Z"""
,srikrishna os,,processing,paid,22.990000000000002,1,USB-C Cable x1,Coimbatore,Coimbatore,"""2025-12-18T02:36:59.913Z"""
,srikrishna os,,pending,unpaid,10898,2,Beats Studio Buds — Red x1; Silicone iPhone Case — Blue x1,Coimbatore,Coimbatore,"""2025-12-18T02:33:10.524Z"""
,srikrishna os,,processing,paid,10932.99,3,Silicone iPhone Case — Blue x1; Two Device Wireless Charger x1; Beats Studio Buds — Red x1,Coimbatore,Coimbatore,"""2025-12-16T04:20:56.297Z"""
,srikrishna os,,processing,paid,10898,2,Silicone iPhone Case — Blue x1; Beats Studio Buds — Red x1,Coimbatore,Coimbatore,"""2025-12-08T14:34:00.843Z"""
,srikrishna os,,pending,unpaid,30896,3,Beats Studio Buds — Red x1; Silicone iPhone Case — Blue x1; Beats Studio Buds — Red x2,Coimbatore,Coimbatore,"""2025-12-08T14:33:37.172Z"""
,srikrishna os,,delivered,paid,10898,2,Silicone iPhone Case — Blue x1; Beats Studio Buds — Red x1,Coimbatore,Coimbatore,"""2025-12-08T14:23:27.003Z"""
,Srikrishna O s,,processing,paid,10898,2,Silicone iPhone Case — Blue x1; Beats Studio Buds — Red x1,Coimbatore,Coimbatore,"""2025-12-08T14:17:48.810Z"""
,Srikrishna O s,,processing,paid,11954.96,6,Silicone iPhone Case — Blue x2; Watch Strappee x1; Two Device Wireless Charger x1; USB-C Cable x1; Wireless White Beats Earbuds x1; Beats Studio Buds — Red x1,Coimbatore,Coimbatore,"""2025-12-08T14:13:53.770Z"""
